seasonID,team,date,home,opponent,win,offRtg,defRtg,netRtg,pace,ptsPerScoringAttempt,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,simpleRPI,margin,ptsScored,ptsAllowed,team,home,pointsScored,fieldGoalMade,fieldGoalAttempt,fieldGoalPercent,threePointMade,threePointAttempt,threePointPercent,freeThrowMade,freeThrowAttempt,freeThrowPercent,offensiveRebound,defensiveRebound,totalRebound,assist,turnover,steal,block,personalFoul,team,home,pointsScored,fieldGoalMade,fieldGoalAttempt,fieldGoalPercent,threePointMade,threePointAttempt,threePointPercent,freeThrowMade,freeThrowAttempt,freeThrowPercent,offensiveRebound,defensiveRebound,totalRebound,assist,turnover,steal,block,personalFoul
4,Iowa,3/9/19,0,Rutgers ,1,104.1,96.1,8,69.5,1.2,92.3,56.8,35.3,29.6,76.5,81.5,12.2,31,5,72,67,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Rutgers,1,64,23,56,0.410714286,5,16,0.3125,13,17,0.764705882,10,24,34,14,15,11,6,19
4,Iowa,3/10/19,0,Maryland ,1,115,94.9,20.1,79.2,1.25,83.3,54.3,41.7,28.1,69.2,70,5.5,17,14,90,76,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Maryland,1,75,27,60,0.45,7,16,0.4375,14,18,0.777777778,10,26,36,16,12,6,5,16
3,Iowa,12/28/17,0,Wisconsin ,1,87.3,67.9,19.4,65.9,0.96,93.3,40.5,28.6,45.5,75.6,63.2,10.9,187,10,56,46,Iowa,0,69,26,58,0.448275862,4,13,0.307692308,13,17,0.764705882,8,28,36,18,17,6,5,15,Wisconsin,1,55,21,52,0.403846154,5,15,0.333333333,8,12,0.666666667,7,22,30,12,16,5,3,13
3,Iowa,1/4/18,0,Maryland ,0,81.3,103.8,-22.5,77.9,0.93,75,43.6,29.2,31.7,64.7,70.8,15.4,18,-16,64,80,Iowa,0,69,26,58,0.448275862,4,13,0.307692308,13,17,0.764705882,8,28,36,18,17,6,5,15,Maryland,1,81,31,67,0.462686567,8,17,0.470588235,13,19,0.684210526,15,26,40,17,12,8,4,14
3,Iowa,1/7/18,0,Illinois ,1,124.5,101.7,22.8,68.6,1.25,90.9,51.1,50,25.9,63.2,82.8,6,216,13,84,71,Iowa,0,69,26,58,0.448275862,4,13,0.307692308,13,17,0.764705882,8,28,36,18,17,6,5,15,Illinois,1,65,25,63,0.396825397,7,21,0.333333333,9,12,0.75,10,20,30,12,13,6,4,19
3,Iowa,1/16/18,0,Nebraska ,0,86.6,99.2,-12.6,74.8,0.84,64.7,43.5,0,38.6,73.5,44.4,10.5,56,-9,65,74,Iowa,0,69,26,58,0.448275862,4,13,0.307692308,13,17,0.764705882,8,28,36,18,17,6,5,15,Nebraska,1,61,23,56,0.410714286,6,21,0.285714286,9,14,0.642857143,6,30,36,17,20,6,5,16
3,Iowa,1/21/18,0,Minnesota ,0,92.3,96.2,-3.9,79,1,73.7,53.1,14.3,27,62.5,71.4,8.5,39,-5,72,77,Iowa,0,69,26,58,0.448275862,4,13,0.307692308,13,17,0.764705882,8,28,36,18,17,6,5,15,Minnesota,1,85,30,71,0.422535211,8,22,0.363636364,17,23,0.739130435,13,25,38,17,12,10,3,17
3,Iowa,2/1/18,0,Michigan St. ,1,86.8,83.1,3.6,72.7,1,59.3,54.8,18.8,35.1,73.6,80.8,10,58,3,71,68,Iowa,0,69,26,58,0.448275862,4,13,0.307692308,13,17,0.764705882,8,28,36,18,17,6,5,15,Michigan St.,1,68,25,63,0.396825397,5,19,0.263157895,12,16,0.75,13,22,36,17,13,8,4,16
3,Iowa,2/21/18,0,Rutgers ,1,97.1,86.2,10.9,69.8,1.08,75,43.2,42.9,35.1,65.2,72,5.2,34,10,77,67,Iowa,0,69,26,58,0.448275862,4,13,0.307692308,13,17,0.764705882,8,28,36,18,17,6,5,15,Rutgers,1,61,23,58,0.396551724,5,15,0.333333333,10,15,0.666666667,13,18,31,12,14,12,6,16
3,Iowa,3/2/18,0,Minnesota ,0,105.4,109,-3.6,83.5,1.25,81.8,56,45.5,22.2,72.9,78.8,10.2,39,-1,89,90,Iowa,0,69,26,58,0.448275862,4,13,0.307692308,13,17,0.764705882,8,28,36,18,17,6,5,15,Minnesota,1,85,30,71,0.422535211,8,22,0.363636364,17,23,0.739130435,13,25,38,17,12,10,3,17
2,Iowa,12/28/16,0,Illinois ,0,90.7,97.2,-6.5,71.8,0.96,85.7,48.5,25,48.7,77.1,87,4.8,179,-5,65,70,Iowa,0,69,26,59,0.440677966,5,18,0.277777778,13,17,0.764705882,8,20,29,16,16,6,4,17,Illinois,1,67,25,61,0.409836066,7,20,0.35,9,11,0.818181818,7,21,29,12,13,6,3,18
2,Iowa,1/17/17,0,Rutgers ,1,108.6,89,19.6,65.9,1.38,79.2,76.7,20,22.2,51.1,68,3.4,198,12,71,59,Iowa,0,69,26,59,0.440677966,5,18,0.277777778,13,17,0.764705882,8,20,29,16,16,6,4,17,Rutgers,1,53,21,57,0.368421053,6,16,0.375,6,9,0.666666667,10,20,30,14,15,10,4,16
2,Iowa,1/29/17,0,Maryland ,0,103.2,124.9,-21.6,79.3,1.1,63.6,50,39.1,26.3,55.6,58.6,0,15,-19,81,100,Iowa,0,69,26,59,0.440677966,5,18,0.277777778,13,17,0.764705882,8,20,29,16,16,6,4,17,Maryland,1,89,33,64,0.515625,7,18,0.388888889,16,22,0.727272727,14,28,41,20,17,10,5,14
2,Iowa,2/19/17,0,Purdue ,0,66.5,92.5,-26,78,0.72,63.6,36.7,16.7,17.4,57.9,52.4,8.3,43,-20,52,72,Iowa,0,69,26,59,0.440677966,5,18,0.277777778,13,17,0.764705882,8,20,29,16,16,6,4,17,Purdue,1,67,26,60,0.433333333,3,15,0.2,12,18,0.666666667,11,23,34,17,15,10,5,14
2,Iowa,2/22/17,0,Indiana ,0,91.6,96,-4.4,66.9,1.12,63.2,67.6,21.7,21.9,81.8,63.3,6.2,49,-3,77,80,Iowa,0,69,26,59,0.440677966,5,18,0.277777778,13,17,0.764705882,8,20,29,16,16,6,4,17,Indiana,1,71,26,63,0.412698413,6,18,0.333333333,14,19,0.736842105,10,23,33,17,11,7,2,16
2,Iowa,3/2/17,0,Northwestern ,0,98.5,106.8,-8.3,73.5,1.09,82.4,52.1,27.3,32.3,52.6,64.3,14,64,-5,73,78,Iowa,0,69,26,59,0.440677966,5,18,0.277777778,13,17,0.764705882,8,20,29,16,16,6,4,17,Northwestern,1,71,25,59,0.423728814,6,17,0.352941176,15,19,0.789473684,8,25,33,17,15,8,4,16
1,Iowa,12/31/15,0,Nebraska ,1,97.3,87.1,10.2,77,1.12,78.9,51.4,35,42.4,78.7,50,10.2,88,6,74,68,Iowa,0,73,27,57,0.473684211,6,17,0.352941176,12,17,0.705882353,8,22,30,16,16,5,5,16,Nebraska,1,71,26,58,0.448275862,5,14,0.357142857,12,19,0.631578947,7,27,34,17,14,6,2,16
1,Iowa,1/7/16,0,Michigan ,0,99.7,112.1,-12.4,74.2,1.13,90.9,52.8,36,27.6,65.6,67.9,12,47,-7,75,82,Iowa,0,73,27,57,0.473684211,6,17,0.352941176,12,17,0.705882353,8,22,30,16,16,5,5,16,Michigan,1,82,30,62,0.483870968,7,18,0.388888889,14,18,0.777777778,8,22,30,17,14,7,2,16
1,Iowa,1/13/16,0,Wisconsin ,1,94.5,89.5,5,60.3,0.99,57.1,45.7,36.8,32.3,78.8,39.1,5.6,177,3,57,54,Iowa,0,73,27,57,0.473684211,6,17,0.352941176,12,17,0.705882353,8,22,30,16,16,5,5,16,Wisconsin,1,58,23,59,0.389830508,6,17,0.352941176,7,12,0.583333333,7,14,21,11,11,6,2,11
1,Iowa,1/24/16,0,Purdue ,0,100.8,131.4,-30.6,70.5,1.21,68.2,54.1,46.2,24.1,52,57.7,6.5,65,-17,73,90,Iowa,0,73,27,57,0.473684211,6,17,0.352941176,12,17,0.705882353,8,22,30,16,16,5,5,16,Purdue,1,70,26,59,0.440677966,5,13,0.384615385,15,21,0.714285714,11,22,33,17,14,10,6,16
1,Iowa,2/4/16,0,Indiana ,0,98.7,107.7,-9,74.2,1.06,57.1,52.1,33.3,22.2,70.6,31,11.1,49,-5,74,79,Iowa,0,73,27,57,0.473684211,6,17,0.352941176,12,17,0.705882353,8,22,30,16,16,5,5,16,Indiana,1,73,25,58,0.431034483,6,18,0.333333333,18,24,0.75,8,26,34,16,12,7,3,17
1,Iowa,2/15/16,0,Minnesota ,0,106.1,112.4,-6.2,70.5,0.97,100,46.2,21.1,46.5,63.4,60.7,9.3,73,-2,76,78,Iowa,0,73,27,57,0.473684211,6,17,0.352941176,12,17,0.705882353,8,22,30,16,16,5,5,16,Minnesota,1,89,34,71,0.478873239,9,21,0.428571429,13,17,0.764705882,11,24,36,16,12,6,3,17
1,Iowa,3/3/16,0,Michigan ,1,129.4,114.5,14.9,74.6,1.37,71.4,59.2,66.7,18.5,66.7,75.7,24,47,12,97,85,Iowa,0,73,27,57,0.473684211,6,17,0.352941176,12,17,0.705882353,8,22,30,16,16,5,5,16,Michigan,1,82,30,62,0.483870968,7,18,0.388888889,14,18,0.777777778,8,22,30,17,14,7,2,16
1,Iowa,3/4/16,0,Maryland ,0,82.3,110.1,-27.8,67.5,1.06,87.5,38.5,66.7,25,46.2,57.1,8.3,9,-20,55,75,Iowa,0,73,27,57,0.473684211,6,17,0.352941176,12,17,0.705882353,8,22,30,16,16,5,5,16,Maryland,1,84,32,65,0.492307692,7,16,0.4375,13,17,0.764705882,13,28,41,19,16,7,4,14
4,Purdue,12/31/18,0,Wisconsin ,0,93.6,101.9,-8.3,74.5,1.02,75,51.2,28.6,24.3,79.4,66.7,14,163,-7,69,76,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Wisconsin,1,66,24,55,0.436363636,4,12,0.333333333,15,23,0.652173913,9,22,31,13,15,8,6,15
4,Purdue,1/16/19,0,Rutgers ,0,90.2,96.4,-6.2,61,0.99,76,36.1,37.5,41.2,81.2,47.4,10.8,31,-2,63,65,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Rutgers,1,64,23,56,0.410714286,5,16,0.3125,13,17,0.764705882,10,24,34,14,15,11,6,19
4,Purdue,1/24/19,0,Minnesota ,1,104.6,87.9,16.7,60.7,1.06,61.5,46.3,46.2,28.1,65.2,60,6.8,85,11,64,53,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Minnesota,1,68,24,62,0.387096774,6,18,0.333333333,15,21,0.714285714,14,22,36,14,13,6,3,15
4,Purdue,1/27/19,0,Iowa ,0,93.9,119.5,-25.6,61,0.97,87.5,39.5,38.9,31.4,66.7,50,7.1,9,-14,58,72,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Iowa,1,78,30,58,0.517241379,4,14,0.285714286,14,18,0.777777778,7,26,33,22,12,6,4,13
4,Purdue,2/3/19,0,Michigan St. ,0,97.1,109.8,-12.7,67.7,0.9,81,44.4,16.7,45.2,67.9,78.3,14.7,38,-8,66,74,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Michigan St.,1,75,27,60,0.45,6,18,0.333333333,16,20,0.8,11,25,36,19,12,7,4,19
4,Purdue,2/10/19,0,Nebraska ,0,87.6,95.3,-7.7,70,0.99,85.7,43.6,31.2,33.3,73.5,63.6,12.8,81,-6,61,67,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Nebraska,1,66,22,57,0.385964912,7,20,0.35,14,20,0.7,8,23,31,13,14,7,7,17
4,Purdue,2/21/19,0,Penn St. ,0,92.4,113.3,-20.9,64.8,0.97,78.9,42.5,28.6,36.4,71.4,42.9,8.3,125,-11,61,72,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Penn St.,1,66,23,63,0.365079365,6,19,0.315789474,13,19,0.684210526,10,19,29,11,11,9,3,17
4,Purdue,3/3/19,0,Indiana ,0,73,105.9,-32.9,69.4,0.75,60,38.5,11.8,20.9,63.6,47.1,14,39,-22,51,73,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Indiana,1,68,24,58,0.413793103,6,16,0.375,15,21,0.714285714,9,25,34,12,14,6,3,18
4,Purdue,3/6/19,0,Illinois ,1,114.2,97,17.2,62.4,1.06,84.2,47.5,31.6,52.9,73.5,64,0,192,12,72,60,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Illinois,1,65,25,61,0.409836066,7,24,0.291666667,9,11,0.818181818,8,20,28,13,11,5,4,18
4,Purdue,3/7/19,0,Nebraska ,1,118.8,113.3,5.5,63.2,1.04,66.7,45.8,41.2,50,59.5,62.1,12.5,81,4,75,71,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Nebraska,1,66,22,57,0.385964912,7,20,0.35,14,20,0.7,8,23,31,13,14,7,7,17
4,Purdue,3/8/19,0,Rutgers ,0,76,94.7,-18.7,66,0.74,68.2,33.3,17.4,39.5,61.5,73.3,10.9,31,-15,49,64,Purdue,0,62,23,58,0.396551724,5,18,0.277777778,12,16,0.75,11,22,33,14,13,7,4,15,Rutgers,1,64,23,56,0.410714286,5,16,0.3125,13,17,0.764705882,10,24,34,14,15,11,6,19
3,Purdue,12/28/17,0,Rutgers ,0,74.9,89.1,-14.2,0,0.85,100,36.8,25,33.3,58.1,44.4,14,34,-8,50,58,Purdue,0,63,24,57,0.421052632,5,15,0.333333333,10,13,0.769230769,8,21,29,13,13,7,4,14,Rutgers,1,61,23,58,0.396551724,5,15,0.333333333,10,15,0.666666667,13,18,31,12,14,12,6,16
3,Purdue,1/6/18,0,Indiana ,0,83.1,109,-25.9,65.5,0.9,90.5,38.1,12.5,34.4,66.7,64.7,9.8,29,-18,54,72,Purdue,0,63,24,57,0.421052632,5,15,0.333333333,10,13,0.769230769,8,21,29,13,13,7,4,14,Indiana,1,67,24,52,0.461538462,6,17,0.352941176,14,18,0.777777778,6,22,29,12,15,7,5,16
3,Purdue,1/13/18,0,Iowa ,1,109,97.4,11.5,70.8,1.23,90,50,52.9,13.8,62.2,41.4,5.9,22,6,76,70,Purdue,0,63,24,57,0.421052632,5,15,0.333333333,10,13,0.769230769,8,21,29,13,13,7,4,14,Iowa,1,83,31,62,0.5,5,14,0.357142857,17,21,0.80952381,9,28,37,22,15,7,5,14
3,Purdue,1/24/18,0,Nebraska ,0,75.9,114.1,-38.1,66.5,0.94,69.2,45.5,26.7,25,74.2,57.9,10.3,56,-24,51,75,Purdue,0,63,24,57,0.421052632,5,15,0.333333333,10,13,0.769230769,8,21,29,13,13,7,4,14,Nebraska,1,61,23,56,0.410714286,6,21,0.285714286,9,14,0.642857143,6,30,36,17,20,6,5,16
3,Purdue,2/1/18,0,Michigan ,1,106.5,102.8,3.7,67.9,1.17,73.7,51.5,40.7,18.8,71.9,53.6,15.2,30,2,81,79,Purdue,0,63,24,57,0.421052632,5,15,0.333333333,10,13,0.769230769,8,21,29,13,13,7,4,14,Michigan,1,81,30,60,0.5,10,18,0.555555556,13,16,0.8125,12,26,37,18,14,7,3,15
3,Purdue,2/4/18,0,Illinois ,1,106.9,82,24.9,67.1,1.17,66.7,57.5,38.9,37,64.9,53.3,10.9,216,19,73,54,Purdue,0,63,24,57,0.421052632,5,15,0.333333333,10,13,0.769230769,8,21,29,13,13,7,4,14,Illinois,1,65,25,63,0.396825397,7,21,0.333333333,9,12,0.75,10,20,30,12,13,6,4,19
3,Purdue,2/15/18,0,Maryland ,1,109.3,94.5,14.8,68.7,1.2,87.5,54.8,38.5,22.2,67.4,67.9,7.4,18,10,75,65,Purdue,0,63,24,57,0.421052632,5,15,0.333333333,10,13,0.769230769,8,21,29,13,13,7,4,14,Maryland,1,81,31,67,0.462686567,8,17,0.470588235,13,19,0.684210526,15,26,40,17,12,8,4,14
3,Purdue,3/1/18,0,Rutgers ,0,96.5,101.2,-4.7,61.7,0.91,69.2,40.9,31.2,41,69,52.2,6.7,34,-2,60,62,Purdue,0,63,24,57,0.421052632,5,15,0.333333333,10,13,0.769230769,8,21,29,13,13,7,4,14,Rutgers,1,61,23,58,0.396551724,5,15,0.333333333,10,15,0.666666667,13,18,31,12,14,12,6,16
3,Purdue,3/22/18,0,Indiana ,0,79.9,119.1,-39.2,62.5,0.78,50,34.8,31.2,39.5,69.6,61.9,12.8,29,-22,51,73,Purdue,0,63,24,57,0.421052632,5,15,0.333333333,10,13,0.769230769,8,21,29,13,13,7,4,14,Indiana,1,67,24,52,0.461538462,6,17,0.352941176,14,18,0.777777778,6,22,29,12,15,7,5,16
2,Purdue,12/31/16,0,Northwestern ,0,83.2,101,-17.8,73.7,0.92,70.6,46.7,16.7,36.1,70.6,69.6,4.4,64,-16,60,76,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Northwestern,1,71,25,59,0.423728814,6,17,0.352941176,15,19,0.789473684,8,25,33,17,15,8,4,16
2,Purdue,1/11/17,0,Wisconsin ,1,117,81.1,35.8,68.9,1.1,61.1,51.2,40,36.1,51.4,76.7,14,197,22,79,57,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Wisconsin,1,62,23,58,0.396551724,7,17,0.411764706,9,15,0.6,11,27,37,13,17,3,5,16
2,Purdue,1/19/17,0,Indiana ,0,85,106.2,-21.3,70.1,1.01,68.8,42.5,41.7,16.1,70.6,36.4,11.1,49,-14,60,74,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Indiana,1,71,26,63,0.412698413,6,18,0.333333333,14,19,0.736842105,10,23,33,17,11,7,2,16
2,Purdue,1/22/17,0,Michigan St. ,1,103.9,91.8,12.1,72.5,1.35,86.7,66.7,38.5,23.8,63.2,65.5,12.5,48,10,76,66,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Michigan St.,1,78,29,64,0.453125,8,25,0.32,11,15,0.733333333,11,27,38,22,14,6,4,22
2,Purdue,2/5/17,0,Illinois ,1,108.3,94.3,13.9,67.2,1.1,50,43.2,52.6,52.9,78.6,69.2,2.6,179,8,72,64,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Illinois,1,67,25,61,0.409836066,7,20,0.35,9,11,0.818181818,7,21,29,12,13,6,3,18
2,Purdue,2/15/17,0,Rutgers ,1,92.3,68,24.3,60.7,0.86,62.5,45,18.8,39.5,62.7,47.6,14,198,13,55,42,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Rutgers,1,53,21,57,0.368421053,6,16,0.375,6,9,0.666666667,10,20,30,14,15,10,4,16
2,Purdue,2/23/17,0,Minnesota ,1,106.5,83.7,22.8,63.7,0.96,65.2,41.5,33.3,48.7,58.5,65.2,13,55,13,67,54,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Minnesota,1,74,25,62,0.403225806,6,21,0.285714286,18,24,0.75,12,25,37,14,14,7,3,17
2,Purdue,3/2/17,0,Illinois ,1,107.4,88.9,18.6,66.2,1.12,68.4,57.9,29.4,22.6,69.7,70.4,23.3,179,14,72,58,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Illinois,1,67,25,61,0.409836066,7,20,0.35,9,11,0.818181818,7,21,29,12,13,6,3,18
2,Purdue,3/3/17,0,Indiana ,1,100.6,93.4,7.2,64.9,0.96,75,34.1,47.1,22,56.1,60.9,15,49,6,66,60,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Indiana,1,71,26,63,0.412698413,6,18,0.333333333,14,19,0.736842105,10,23,33,17,11,7,2,16
2,Purdue,3/5/17,0,Maryland ,0,88.1,101.8,-13.7,72.7,0.96,92.9,42.9,27.8,31.6,71.4,56.5,5.3,15,-10,64,74,Purdue,0,68,25,57,0.438596491,6,15,0.4,13,17,0.764705882,9,23,31,16,14,7,5,15,Maryland,1,89,33,64,0.515625,7,18,0.388888889,16,22,0.727272727,14,28,41,20,17,10,5,14
1,Purdue,12/31/15,0,Michigan ,1,98.2,95.5,2.7,66.1,0.98,63.6,39.5,44.4,29.7,56.8,84,15,47,2,65,63,Purdue,0,65,25,61,0.409836066,4,15,0.266666667,12,15,0.8,10,20,31,15,15,9,5,17,Michigan,1,82,30,62,0.483870968,7,18,0.388888889,14,18,0.777777778,8,22,30,17,14,7,2,16
1,Purdue,2/8/16,0,Wisconsin ,0,86.1,98.8,-12.7,65.5,0.98,90.9,45.2,27.3,25,57.1,59.1,7.8,177,-7,57,64,Purdue,0,65,25,61,0.409836066,4,15,0.266666667,12,15,0.8,10,20,31,15,15,9,5,17,Wisconsin,1,58,23,59,0.389830508,6,17,0.352941176,7,12,0.583333333,7,14,21,11,11,6,2,11
1,Purdue,2/11/16,0,Maryland ,0,78.3,97.4,-19,75.2,0.84,57.1,33.3,43.8,31,57.9,37.5,2.3,9,-14,59,73,Purdue,0,65,25,61,0.409836066,4,15,0.266666667,12,15,0.8,10,20,31,15,15,9,5,17,Maryland,1,84,32,65,0.492307692,7,16,0.4375,13,17,0.764705882,13,28,41,19,16,7,4,14
1,Purdue,2/18/16,0,Iowa ,0,81.2,91.4,-10.2,68.3,0.82,70,42.9,20,39,64.3,50,7.1,55,-8,55,63,Purdue,0,65,25,61,0.409836066,4,15,0.266666667,12,15,0.8,10,20,31,15,15,9,5,17,Iowa,1,70,25,57,0.438596491,5,17,0.294117647,15,21,0.714285714,9,23,32,16,16,6,5,13
1,Purdue,2/21/16,0,Nebraska ,1,103.3,76.7,26.6,65.5,1.02,83.3,50.9,27.3,51.4,75,46.7,17.5,88,18,68,50,Purdue,0,65,25,61,0.409836066,4,15,0.266666667,12,15,0.8,10,20,31,15,15,9,5,17,Nebraska,1,71,26,58,0.448275862,5,14,0.357142857,12,19,0.631578947,7,27,34,17,14,6,2,16
4,Indiana,12/28/18,0,Illinois ,1,104.9,101.4,3.5,72.4,0.98,78.9,37.7,47.1,35.4,76.5,41.9,4.3,192,2,85,83,Indiana,0,62,23,58,0.396551724,5,16,0.3125,10,13,0.769230769,8,23,31,11,14,6,3,18,Illinois,1,65,25,61,0.409836066,7,24,0.291666667,9,11,0.818181818,8,20,28,13,11,5,4,18
4,Indiana,1/10/19,0,Ohio St. ,0,72.8,77.9,-5.1,69.7,0.8,91.7,40.9,7.7,34.2,80.6,21.1,4.8,89,-5,50,55,Indiana,0,62,23,58,0.396551724,5,16,0.3125,10,13,0.769230769,8,23,31,11,14,6,3,18,Ohio St.,1,64,21,51,0.411764706,6,17,0.352941176,17,24,0.708333333,8,23,30,11,17,8,2,18
